craft_id,craft_name,category,material_cost,labor_hours,weight_kg,is_gi_tagged,complexity_score,artisan_experience_years,texture_roughness_index,organic_dye_purity,is_genuine_handmade,sample_dialect_phrase,protected_artisan_wage,fair_market_price
SIH-CRAFT-0019,Varanasi Silk Handloom,Handloom Silk,2563.71,54.8,0.86,1,3,33,0.916,0.755,1,बनारसी कतान सिल्क,13427.8,22061.04
SIH-CRAFT-0020,Kutch Bandhani & Ajrakh,Bandhani,628.88,19.8,0.24,1,4,9,0.67,0.911,1,कच्छी बंधेज दुपट्टा,4451.4,7330.88
SIH-CRAFT-0021,Varanasi Silk Handloom,Handloom Silk,2133.46,22.2,0.55,1,4,18,0.939,0.722,1,बनारसी कतान सिल्क,5775.6,11149.73
SIH-CRAFT-0022,Gorakhpur Terracotta,Terracotta,312.18,3.2,0.78,1,2,13,0.784,0.84,1,धूपदानी,783.8,1952.07
SIH-CRAFT-0023,Gorakhpur Terracotta,Terracotta,150.65,7.3,3.28,1,4,21,0.79,0.978,1,धूपदानी,1833.4,3150.97
SIH-CRAFT-0024,Mithila Madhubani Painting,Madhubani,369.74,9.6,0.62,1,3,23,0.669,0.869,1,गोबर लीपा कैनवास,2370.6,4171.96
SIH-CRAFT-0025,Gorakhpur Terracotta,Terracotta,69.61,0.8,2.29,0,1,3,0.142,0.362,0,टेराकोटा सुराही,41.28,153.14
SIH-CRAFT-0026,Zari Zardozi Embroidery,Zari Embroidery,1100.35,20.5,0.71,0,4,19,0.717,0.908,1,जरदोज़ी का काम,4651.5,7765.0
SIH-CRAFT-0027,Moradabad Brassware,Brass Craft,1406.03,14.0,2.92,1,2,3,0.801,0.99,1,पीतल का नक्काशीदार दीया,2761.0,6097.99
SIH-CRAFT-0028,Jaipur Blue Pottery,Blue Pottery,628.24,7.9,1.37,1,2,18,0.772,0.746,1,हस्तशिल्प जार,1921.1,3914.11
SIH-CRAFT-0029,Moradabad Brassware,Brass Craft,1784.68,21.1,1.54,1,4,9,0.96,0.739,1,पीतल का नक्काशीदार दीया,4734.8,9273.8
SIH-CRAFT-0030,Jaipur Blue Pottery,Blue Pottery,435.5,9.9,1.06,1,4,16,0.877,0.947,1,हस्तशिल्प जार,2546.7,4498.47
SIH-CRAFT-0031,Bastar Dhokra Bell Metal,Dhokra Art,1498.97,11.1,2.51,1,4,5,0.651,0.924,1,बेल मेटल बैल,2716.8,6163.79
SIH-CRAFT-0032,Moradabad Brassware,Brass Craft,1130.2,22.1,4.02,1,2,7,0.962,0.9,1,पीतल का नक्काशीदार दीया,4392.4,7928.01
SIH-CRAFT-0033,Kolhapuri Chappal & Leather,Leather Craft,571.53,11.1,0.74,1,1,22,0.77,0.971,1,कोल्हापुरी हाथ की चप्पल,2239.2,4266.99
SIH-CRAFT-0034,Saharanpur Wood Carving,Wood Carving,649.53,8.5,3.69,1,5,12,0.956,0.769,1,शीशम की लकड़ी की जाली,2092.5,4174.24
SIH-CRAFT-0035,Mithila Madhubani Painting,Madhubani,105.45,4.3,0.33,0,2,5,0.402,0.334,0,प्राकृतिक रंग चित्र,256.71,231.99
SIH-CRAFT-0036,Mithila Madhubani Painting,Madhubani,309.45,32.4,0.7,1,3,15,0.919,0.833,1,प्राकृतिक रंग चित्र,7061.4,10423.15
SIH-CRAFT-0037,Varanasi Silk Handloom,Handloom Silk,2418.08,33.5,0.62,1,3,20,0.766,0.848,1,हाथ का ताना-बाना,8206.0,14815.01
SIH-CRAFT-0038,Gorakhpur Terracotta,Terracotta,441.12,5.0,3.39,1,3,5,0.686,0.826,1,हाथ से बनी मटकी,1055.0,2492.26
SIH-CRAFT-0039,Kutch Bandhani & Ajrakh,Bandhani,709.14,12.2,0.6,1,3,5,0.884,0.7,1,प्राकृतिक नील रंग,2588.2,4923.91
SIH-CRAFT-0040,Varanasi Silk Handloom,Handloom Silk,1060.94,45.2,0.66,1,4,10,0.888,0.787,1,हाथ का ताना-बाना,11359.6,17240.23
SIH-CRAFT-0041,Kutch Bandhani & Ajrakh,Bandhani,857.77,14.9,0.33,1,4,27,0.874,0.962,1,प्राकृतिक नील रंग,3653.2,6562.31
SIH-CRAFT-0042,Zari Zardozi Embroidery,Zari Embroidery,1025.33,10.0,0.5,0,5,40,0.85,0.793,1,सच्ची जरी कढ़ाई,2850.0,5231.7
SIH-CRAFT-0043,Bastar Dhokra Bell Metal,Dhokra Art,1062.29,27.5,3.39,1,5,13,0.867,0.782,1,बेल मेटल बैल,7070.0,11451.09
SIH-CRAFT-0044,Zari Zardozi Embroidery,Zari Embroidery,1309.34,28.8,0.77,0,3,15,0.699,0.713,1,सच्ची जरी कढ़ाई,6013.8,9886.24
SIH-CRAFT-0045,Zari Zardozi Embroidery,Zari Embroidery,526.47,20.4,0.74,0,3,27,0.813,0.771,1,मखमली सूट पीस,4505.4,6793.02
SIH-CRAFT-0046,Gorakhpur Terracotta,Terracotta,163.25,1.9,2.84,0,1,1,0.381,0.294,0,धूपदानी,98.04,359.15
SIH-CRAFT-0047,Gorakhpur Terracotta,Terracotta,425.24,4.3,0.9,1,4,36,0.976,0.873,1,धूपदानी,1434.4,2983.01
SIH-CRAFT-0048,Zari Zardozi Embroidery,Zari Embroidery,1386.62,20.7,0.93,0,5,13,0.895,0.838,1,सच्ची जरी कढ़ाई,4852.5,8422.81
SIH-CRAFT-0049,Varanasi Silk Handloom,Handloom Silk,1537.82,50.2,0.79,1,3,20,0.795,0.907,1,शुद्ध रेशमी साड़ी,12147.2,18947.28
SIH-CRAFT-0050,Moradabad Brassware,Brass Craft,1671.63,9.6,2.18,1,5,12,0.883,0.719,1,ब्रास पूजा थाली,2388.0,5953.0
SIH-CRAFT-0051,Saharanpur Wood Carving,Wood Carving,815.77,11.0,2.35,1,2,39,0.776,0.702,1,हाथ से तराशा बॉक्स,2664.0,5170.19
SIH-CRAFT-0052,Moradabad Brassware,Brass Craft,1624.14,27.1,3.39,1,3,34,0.722,0.826,1,पीतल का नक्काशीदार दीया,6092.6,10890.1
SIH-CRAFT-0053,Kutch Bandhani & Ajrakh,Bandhani,843.31,12.5,0.32,1,3,11,0.974,0.855,1,अजरख ब्लॉक प्रिंट,2740.0,5309.97
SIH-CRAFT-0054,Zari Zardozi Embroidery,Zari Embroidery,478.46,26.1,0.39,0,5,14,0.667,0.81,1,जरदोज़ी का काम,6082.5,8857.3
SIH-CRAFT-0055,Bastar Dhokra Bell Metal,Dhokra Art,1337.35,18.3,2.83,1,4,19,0.926,0.836,1,बेल मेटल बैल,4640.4,8542.46
SIH-CRAFT-0056,Kolhapuri Chappal & Leather,Leather Craft,921.15,7.5,0.45,1,1,4,0.963,0.758,1,कोल्हापुरी हाथ की चप्पल,1350.0,3538.55
SIH-CRAFT-0057,Zari Zardozi Embroidery,Zari Embroidery,582.53,26.7,0.69,0,3,32,0.881,0.922,1,जरदोज़ी का काम,5846.7,8679.46
SIH-CRAFT-0058,Zari Zardozi Embroidery,Zari Embroidery,1235.32,12.9,0.87,0,4,9,0.841,0.969,1,मखमली सूट पीस,2882.7,5559.33
SIH-CRAFT-0059,Kutch Bandhani & Ajrakh,Bandhani,872.01,7.2,0.68,1,4,18,0.684,0.924,1,प्राकृतिक नील रंग,1839.6,4133.17
SIH-CRAFT-0060,Zari Zardozi Embroidery,Zari Embroidery,1286.04,24.1,0.33,0,5,26,0.673,0.888,1,जरदोज़ी का काम,5812.5,9583.03
SIH-CRAFT-0061,Kutch Bandhani & Ajrakh,Bandhani,384.43,21.4,0.64,1,3,12,0.794,0.913,1,प्राकृतिक नील रंग,4588.4,7185.82
SIH-CRAFT-0062,Moradabad Brassware,Brass Craft,1703.54,23.5,3.59,1,4,23,0.931,0.941,1,पीतल का नक्काशीदार दीया,5468.0,10154.08
SIH-CRAFT-0063,Moradabad Brassware,Brass Craft,357.05,2.6,4.25,0,2,2,0.11,0.348,0,पीतल का नक्काशीदार दीया,151.32,785.51
SIH-CRAFT-0064,Bastar Dhokra Bell Metal,Dhokra Art,1377.62,17.5,3.18,1,5,20,0.833,0.85,1,ढोकरा आदिवासी मूर्ति,4675.0,8643.54
SIH-CRAFT-0065,Jaipur Blue Pottery,Blue Pottery,573.54,13.8,1.13,1,5,34,0.798,0.705,1,क्वार्ट्ज प्लेट,3891.0,6499.63
SIH-CRAFT-0066,Varanasi Silk Handloom,Handloom Silk,1459.6,45.2,0.7,1,5,36,0.763,0.989,1,हाथ का ताना-बाना,12292.0,19037.16
SIH-CRAFT-0067,Saharanpur Wood Carving,Wood Carving,670.92,12.0,1.25,1,3,23,0.689,0.855,1,लकड़ी का झरोखा,2757.0,5100.19
SIH-CRAFT-0068,Mithila Madhubani Painting,Madhubani,656.23,15.7,0.51,1,5,21,0.974,0.941,1,प्राकृतिक रंग चित्र,4004.5,6764.49
SIH-CRAFT-0069,Varanasi Silk Handloom,Handloom Silk,1595.22,47.2,0.5,1,3,6,0.833,0.902,1,शुद्ध रेशमी साड़ी,11229.2,17785.47
SIH-CRAFT-0070,Bastar Dhokra Bell Metal,Dhokra Art,513.49,16.3,2.09,1,4,14,0.969,0.773,1,मोम की ढलाई कला,4089.4,6686.4
SIH-CRAFT-0071,Jaipur Blue Pottery,Blue Pottery,570.39,7.0,1.98,1,2,12,0.699,0.863,1,क्वार्ट्ज प्लेट,1643.0,3460.58
SIH-CRAFT-0072,Jaipur Blue Pottery,Blue Pottery,166.06,2.5,1.93,0,1,4,0.233,0.368,0,क्वार्ट्ज प्लेट,147.75,365.33
SIH-CRAFT-0073,Zari Zardozi Embroidery,Zari Embroidery,308.26,3.8,0.73,0,1,1,0.319,0.143,0,जरदोज़ी का काम,201.78,678.17
SIH-CRAFT-0074,Mithila Madhubani Painting,Madhubani,553.6,12.4,0.39,1,5,33,0.746,0.767,1,प्राकृतिक रंग चित्र,3409.0,5822.01
SIH-CRAFT-0075,Bastar Dhokra Bell Metal,Dhokra Art,756.77,15.8,2.94,1,5,15,0.79,0.858,1,बेल मेटल बैल,4175.0,7130.39
SIH-CRAFT-0076,Mithila Madhubani Painting,Madhubani,281.86,1.5,0.22,0,2,4,0.362,0.249,0,प्राकृतिक रंग चित्र,89.55,620.09
SIH-CRAFT-0077,Bastar Dhokra Bell Metal,Dhokra Art,1257.55,25.4,3.35,1,5,37,0.813,0.723,1,ढोकरा आदिवासी मूर्ति,6905.0,11491.94
SIH-CRAFT-0078,Kutch Bandhani & Ajrakh,Bandhani,782.97,6.4,0.36,1,4,39,0.844,0.706,1,प्राकृतिक नील रंग,1980.2,4202.78
SIH-CRAFT-0079,Moradabad Brassware,Brass Craft,1515.73,11.5,3.84,1,5,20,0.71,0.87,1,हाथ की ढलाई,2945.0,6494.49
SIH-CRAFT-0080,Bastar Dhokra Bell Metal,Dhokra Art,406.8,2.8,1.67,0,1,1,0.215,0.293,0,मोम की ढलाई कला,169.68,894.96
SIH-CRAFT-0081,Kutch Bandhani & Ajrakh,Bandhani,740.08,13.3,0.42,1,3,10,0.97,0.817,1,प्राकृतिक नील रंग,2889.8,5372.84
SIH-CRAFT-0082,Gorakhpur Terracotta,Terracotta,312.78,7.5,1.06,1,3,34,0.856,0.92,1,टेराकोटा सुराही,1980.0,3567.75
SIH-CRAFT-0083,Moradabad Brassware,Brass Craft,1713.21,16.8,4.64,1,2,4,0.971,0.877,1,पीतल का नक्काशीदार दीया,3319.2,7266.25
SIH-CRAFT-0084,Mithila Madhubani Painting,Madhubani,257.52,19.4,0.26,1,3,32,0.963,0.888,1,गोबर लीपा कैनवास,4573.4,6994.24
SIH-CRAFT-0085,Bastar Dhokra Bell Metal,Dhokra Art,328.42,3.8,1.92,0,2,3,0.185,0.243,0,मोम की ढलाई कला,243.96,722.52
SIH-CRAFT-0086,Varanasi Silk Handloom,Handloom Silk,827.58,8.2,1.09,0,2,3,0.219,0.326,0,हाथ का ताना-बाना,551.04,1820.68
SIH-CRAFT-0087,Gorakhpur Terracotta,Terracotta,239.57,9.5,3.5,1,4,12,0.797,0.84,1,हाथ से बनी मटकी,2156.0,3706.52
SIH-CRAFT-0088,Kolhapuri Chappal & Leather,Leather Craft,576.33,15.3,1.1,1,2,39,0.776,0.948,1,प्राकृतिक चमड़ा,3400.2,5840.82
SIH-CRAFT-0089,Gorakhpur Terracotta,Terracotta,291.89,13.0,1.64,1,2,34,0.968,0.737,1,हाथ से बनी मटकी,2902.0,4784.25
SIH-CRAFT-0090,Jaipur Blue Pottery,Blue Pottery,236.87,2.0,1.61,0,1,3,0.405,0.389,0,नीली मिट्टी का फूलदान,118.2,521.11
SIH-CRAFT-0091,Bastar Dhokra Bell Metal,Dhokra Art,791.53,23.7,1.87,1,3,24,0.931,0.949,1,मोम की ढलाई कला,5716.2,9257.94
SIH-CRAFT-0092,Saharanpur Wood Carving,Wood Carving,1287.44,17.7,2.8,1,2,18,0.858,0.967,1,शीशम की लकड़ी की जाली,3615.3,7091.2
SIH-CRAFT-0093,Jaipur Blue Pottery,Blue Pottery,404.14,14.9,2.52,1,5,13,0.879,0.962,1,नीली मिट्टी का फूलदान,3845.5,6209.51
SIH-CRAFT-0094,Saharanpur Wood Carving,Wood Carving,693.37,15.0,1.34,1,5,39,0.875,0.752,1,शीशम की लकड़ी की जाली,3960.0,6754.55
SIH-CRAFT-0095,Jaipur Blue Pottery,Blue Pottery,560.4,15.6,1.69,1,3,17,0.802,0.774,1,क्वार्ट्ज प्लेट,3702.6,6227.55
SIH-CRAFT-0096,Gorakhpur Terracotta,Terracotta,115.83,0.9,2.14,0,1,3,0.431,0.396,0,हाथ से बनी मटकी,46.44,254.83
SIH-CRAFT-0097,Kutch Bandhani & Ajrakh,Bandhani,665.47,10.8,0.9,1,3,9,0.728,0.866,1,प्राकृतिक नील रंग,2359.8,4556.61
SIH-CRAFT-0098,Moradabad Brassware,Brass Craft,381.71,4.1,4.46,0,2,0,0.298,0.29,0,हाथ की ढलाई,238.62,839.76
SIH-CRAFT-0099,Gorakhpur Terracotta,Terracotta,149.42,1.8,3.21,0,1,4,0.381,0.127,0,टेराकोटा सुराही,92.88,328.72
SIH-CRAFT-0100,Zari Zardozi Embroidery,Zari Embroidery,1243.36,29.2,0.78,0,3,9,0.948,0.887,1,सच्ची जरी कढ़ाई,6004.2,9784.21
SIH-CRAFT-0101,Bastar Dhokra Bell Metal,Dhokra Art,901.35,12.9,3.26,1,4,29,0.708,0.738,1,बेल मेटल बैल,3505.2,6421.34
SIH-CRAFT-0102,Saharanpur Wood Carving,Wood Carving,1313.49,25.9,1.75,1,5,21,0.896,0.798,1,शीशम की लकड़ी की जाली,6142.5,10538.09
SIH-CRAFT-0103,Bastar Dhokra Bell Metal,Dhokra Art,261.93,4.7,3.12,0,2,4,0.228,0.327,0,ढोकरा आदिवासी मूर्ति,301.74,576.25
SIH-CRAFT-0104,Moradabad Brassware,Brass Craft,1145.74,21.5,4.53,1,5,26,0.686,0.768,1,पीतल का नक्काशीदार दीया,5335.0,9221.5
SIH-CRAFT-0105,Zari Zardozi Embroidery,Zari Embroidery,415.79,4.9,0.45,0,1,5,0.388,0.368,0,सच्ची जरी कढ़ाई,260.19,914.74
SIH-CRAFT-0106,Kutch Bandhani & Ajrakh,Bandhani,336.28,6.6,0.9,1,2,9,0.727,0.856,1,अजरख ब्लॉक प्रिंट,1415.4,2837.27
SIH-CRAFT-0107,Bastar Dhokra Bell Metal,Dhokra Art,1544.32,25.3,2.26,1,5,12,0.942,0.89,1,मोम की ढलाई कला,6505.0,11339.08
SIH-CRAFT-0108,Zari Zardozi Embroidery,Zari Embroidery,1449.1,10.8,0.56,0,5,31,0.964,0.948,1,जरदोज़ी का काम,2895.0,5864.53
SIH-CRAFT-0109,Saharanpur Wood Carving,Wood Carving,1377.84,14.6,2.27,1,3,10,0.963,0.939,1,शीशम की लकड़ी की जाली,3084.6,6496.79
SIH-CRAFT-0110,Varanasi Silk Handloom,Handloom Silk,2273.44,16.9,1.03,1,3,11,0.91,0.76,1,शुद्ध रेशमी साड़ी,4153.4,9148.73
SIH-CRAFT-0111,Zari Zardozi Embroidery,Zari Embroidery,1363.18,18.2,0.4,0,2,20,0.933,0.742,1,जरदोज़ी का काम,3739.8,6889.02
SIH-CRAFT-0112,Kolhapuri Chappal & Leather,Leather Craft,454.7,12.3,0.42,1,1,25,0.911,0.769,1,प्राकृतिक चमड़ा,2490.6,4448.65
SIH-CRAFT-0113,Gorakhpur Terracotta,Terracotta,165.72,11.2,2.08,1,1,33,0.798,0.805,1,माटी का घड़ा,2421.4,3965.11
SIH-CRAFT-0114,Bastar Dhokra Bell Metal,Dhokra Art,1539.96,11.0,2.91,1,5,36,0.75,0.887,1,ढोकरा आदिवासी मूर्ति,3290.0,6992.95
SIH-CRAFT-0115,Gorakhpur Terracotta,Terracotta,161.68,1.2,0.82,0,2,0,0.415,0.163,0,टेराकोटा सुराही,66.24,355.7
SIH-CRAFT-0116,Jaipur Blue Pottery,Blue Pottery,693.37,14.2,2.17,1,5,36,0.747,0.847,1,क्वार्ट्ज प्लेट,4019.0,6834.2
SIH-CRAFT-0117,Jaipur Blue Pottery,Blue Pottery,412.93,15.2,2.53,1,3,30,0.799,0.766,1,क्वार्ट्ज प्लेट,3809.2,6172.38
SIH-CRAFT-0118,Bastar Dhokra Bell Metal,Dhokra Art,1302.57,16.9,1.64,1,4,26,0.965,0.899,1,मोम की ढलाई कला,4412.2,8187.44
SIH-CRAFT-0119,Jaipur Blue Pottery,Blue Pottery,396.95,12.0,2.24,1,4,11,0.834,0.87,1,हस्तशिल्प जार,2961.0,5005.73
SIH-CRAFT-0120,Kolhapuri Chappal & Leather,Leather Craft,423.34,8.9,0.93,1,4,6,0.97,0.874,1,प्राकृतिक चमड़ा,1941.2,3664.63
SIH-CRAFT-0121,Jaipur Blue Pottery,Blue Pottery,467.01,15.2,1.09,1,2,25,0.929,0.807,1,क्वार्ट्ज प्लेट,3551.8,5897.89
SIH-CRAFT-0122,Zari Zardozi Embroidery,Zari Embroidery,900.57,24.0,0.84,0,2,20,0.66,0.779,1,सच्ची जरी कढ़ाई,4836.0,7744.37
SIH-CRAFT-0123,Saharanpur Wood Carving,Wood Carving,581.41,9.4,3.23,1,2,12,0.895,0.982,1,शीशम की लकड़ी की जाली,1956.6,3898.81
SIH-CRAFT-0124,Kolhapuri Chappal & Leather,Leather Craft,601.9,8.7,0.7,1,3,39,0.847,0.956,1,कोल्हापुरी हाथ की चप्पल,2290.2,4376.84
SIH-CRAFT-0125,Mithila Madhubani Painting,Madhubani,277.37,10.3,0.41,1,4,34,0.85,0.82,1,गोबर लीपा कैनवास,2806.9,4636.26
SIH-CRAFT-0126,Kolhapuri Chappal & Leather,Leather Craft,607.95,8.1,0.94,1,4,36,0.87,0.713,1,प्राकृतिक चमड़ा,2224.8,4296.71
SIH-CRAFT-0127,Zari Zardozi Embroidery,Zari Embroidery,664.64,33.6,0.84,0,4,21,0.758,0.702,1,मखमली सूट पीस,7471.8,10984.19
SIH-CRAFT-0128,Kutch Bandhani & Ajrakh,Bandhani,604.17,17.3,0.55,1,4,25,0.674,0.95,1,कच्छी बंधेज दुपट्टा,4146.4,6885.77
SIH-CRAFT-0129,Kutch Bandhani & Ajrakh,Bandhani,1036.93,19.8,0.6,1,4,28,0.884,0.821,1,कच्छी बंधेज दुपट्टा,4736.4,8266.5
SIH-CRAFT-0130,Kutch Bandhani & Ajrakh,Bandhani,559.81,18.8,0.63,1,4,26,0.679,0.945,1,कच्छी बंधेज दुपट्टा,4488.4,7287.58
SIH-CRAFT-0131,Kutch Bandhani & Ajrakh,Bandhani,719.17,12.3,0.42,1,3,17,0.76,0.749,1,प्राकृतिक नील रंग,2788.8,5208.26
SIH-CRAFT-0132,Jaipur Blue Pottery,Blue Pottery,456.65,16.9,1.37,1,3,18,0.684,0.774,1,नीली मिट्टी का फूलदान,4004.9,6495.59
SIH-CRAFT-0133,Zari Zardozi Embroidery,Zari Embroidery,1247.11,11.9,0.97,0,5,32,0.899,0.92,1,सच्ची जरी कढ़ाई,3157.5,5946.22
SIH-CRAFT-0134,Zari Zardozi Embroidery,Zari Embroidery,1485.86,18.1,0.98,0,4,12,0.795,0.836,1,मखमली सूट पीस,4035.3,7453.57
SIH-CRAFT-0135,Moradabad Brassware,Brass Craft,1309.7,15.0,1.83,1,5,31,0.662,0.807,1,ब्रास पूजा थाली,3915.0,7525.84
SIH-CRAFT-0136,Jaipur Blue Pottery,Blue Pottery,887.55,7.3,1.91,1,5,32,0.842,0.977,1,हस्तशिल्प जार,2268.5,4733.17
SIH-CRAFT-0137,Gorakhpur Terracotta,Terracotta,392.94,10.2,1.46,1,4,35,0.7,0.718,1,माटी का घड़ा,2646.6,4575.88
SIH-CRAFT-0138,Saharanpur Wood Carving,Wood Carving,193.73,3.2,0.94,0,2,3,0.283,0.263,0,हाथ से तराशा बॉक्स,181.44,426.21
SIH-CRAFT-0139,Saharanpur Wood Carving,Wood Carving,314.97,3.7,3.31,0,1,5,0.327,0.073,0,शीशम की लकड़ी की जाली,196.47,692.93
SIH-CRAFT-0140,Kolhapuri Chappal & Leather,Leather Craft,520.49,13.0,0.93,1,2,24,0.677,0.892,1,प्राकृतिक चमड़ा,2752.0,4890.36
SIH-CRAFT-0141,Moradabad Brassware,Brass Craft,575.27,2.4,4.18,0,1,2,0.296,0.275,0,ब्रास पूजा थाली,131.04,1265.59
SIH-CRAFT-0142,Mithila Madhubani Painting,Madhubani,705.93,28.7,0.58,1,5,8,0.863,0.823,1,प्राकृतिक रंग चित्र,6864.5,10692.58
SIH-CRAFT-0143,Gorakhpur Terracotta,Terracotta,204.08,5.4,3.34,1,4,15,0.725,0.74,1,माटी का घड़ा,1348.2,2568.08
SIH-CRAFT-0144,Moradabad Brassware,Brass Craft,721.37,23.4,5.26,1,2,24,0.939,0.879,1,हाथ की ढलाई,4899.6,8060.81
SIH-CRAFT-0145,Kutch Bandhani & Ajrakh,Bandhani,444.68,17.1,0.64,1,2,31,0.664,0.806,1,प्राकृतिक नील रंग,3782.4,6179.06
SIH-CRAFT-0146,Varanasi Silk Handloom,Handloom Silk,921.75,7.4,1.03,0,1,4,0.184,0.388,0,जरी पल्लू,470.64,2027.85
SIH-CRAFT-0147,Varanasi Silk Handloom,Handloom Silk,3078.4,59.3,0.77,1,4,27,0.816,0.821,1,शुद्ध रेशमी साड़ी,15111.4,25028.73
SIH-CRAFT-0148,Varanasi Silk Handloom,Handloom Silk,1218.32,27.0,0.91,1,4,38,0.958,0.906,1,बनारसी कतान सिल्क,7266.0,11926.33
SIH-CRAFT-0149,Moradabad Brassware,Brass Craft,792.37,17.0,3.81,1,5,8,0.962,0.764,1,ब्रास पूजा थाली,4030.0,6982.7
SIH-CRAFT-0150,Saharanpur Wood Carving,Wood Carving,325.96,2.3,2.18,0,2,0,0.231,0.06,0,शीशम की लकड़ी की जाली,130.41,717.11
SIH-CRAFT-0151,Saharanpur Wood Carving,Wood Carving,537.6,12.9,3.87,1,3,33,0.798,0.702,1,शीशम की लकड़ी की जाली,3087.9,5366.93
SIH-CRAFT-0152,Gorakhpur Terracotta,Terracotta,400.49,9.0,2.68,1,4,10,0.906,0.769,1,माटी का घड़ा,2022.0,3742.86
SIH-CRAFT-0153,Gorakhpur Terracotta,Terracotta,341.69,9.9,0.69,1,4,37,0.655,0.849,1,टेराकोटा सुराही,2614.2,4462.95
SIH-CRAFT-0154,Mithila Madhubani Painting,Madhubani,250.86,17.9,0.5,1,3,8,0.823,0.805,1,मिथिला पेंटिंग,3896.9,6071.98
SIH-CRAFT-0155,Kutch Bandhani & Ajrakh,Bandhani,133.93,1.8,0.46,0,1,2,0.376,0.171,0,प्राकृतिक नील रंग,98.28,294.65
SIH-CRAFT-0156,Jaipur Blue Pottery,Blue Pottery,754.35,10.7,0.7,1,4,14,0.924,0.899,1,हस्तशिल्प जार,2703.1,5140.06
SIH-CRAFT-0157,Bastar Dhokra Bell Metal,Dhokra Art,1392.65,11.4,2.9,1,4,5,0.747,0.713,1,ढोकरा आदिवासी मूर्ति,2788.2,6116.65
SIH-CRAFT-0158,Gorakhpur Terracotta,Terracotta,243.02,7.4,2.95,1,4,19,0.662,0.888,1,हाथ से बनी मटकी,1824.2,3263.25
SIH-CRAFT-0159,Saharanpur Wood Carving,Wood Carving,179.12,3.3,1.81,0,2,3,0.411,0.31,0,हाथ से तराशा बॉक्स,187.11,394.06
